0	26579.4	10336.4	0
0.5	26579.5	9889.09	0
1	26579.5	9885.27	0
1.5	26579.5	9876.36	0
2	26579.5	9874.29	0
2.5	26579.5	9645.73	6.7704
3	26579.5	9319.63	14.3304
3.5	26579.5	9479.24	13.4462
4	26579.6	9597.03	10.0349
4.5	26579.6	9610.66	9.35841
5	26579.6	9782.36	4.08664
5.5	26579.6	9790.88	3.58554
6	26579.6	9764.5	2.79652
6.5	26579.6	9829.21	2.21991
7	26579.4	9600.75	4.09786
7.5	26579.3	9824.55	0.73365
8	26579.6	9757.43	1.98598
8.5	26579.6	9639.57	5.50735
9	26579.6	9689.58	4.04575
9.5	26579.5	9707.09	3.65864
10	26579.4	9787.44	2.79142
10.5	26579.5	9760.11	4.40257
11	26579.5	9818.73	2.57323
11.5	26579.5	9858.23	1.18655
12	26579.5	9752.7	4.21548
12.5	26579.9	9777.19	0.0502376
13	26579.5	9798.11	2.20492
13.5	26579.6	9768.87	2.75286
14	26579.6	9764.36	2.975
14.5	26579.6	9755.5	4.03128
15	26579.6	9790.33	3.69351
15.5	26579.6	9747.48	3.10206
16	26579.7	9407.17	9.43561
16.5	26579.7	9837.14	1.59086
17	26579.7	9826.49	1.68073
17.5	26579.8	9698.81	2.6822
18	26579.7	9481.57	7.85754
18.5	26579.6	9834.42	1.70325
19	26579.7	9635.75	5.46699
19.5	26579.7	9848.82	1.12856
20	26579.6	9566.14	7.47108
20.5	26579.6	9659.07	5.20025
21	26579.6	9801.51	3.14777
21.5	26579.6	9784.63	3.16348
22	26579.7	9851.71	1.0276
22.5	26579.6	9708.61	4.47795
23	26579.6	9777.29	3.17981
23.5	26579.8	9618.58	6.82496
24	26579.7	9686.06	4.70678
24.5	26579.7	9692.85	5.13726
25	26579.7	9779.57	3.12435
25.5	26579.7	9674.8	4.73826
26	26579.7	9761.57	3.75532
26.5	26579.7	9850.74	1.34576
27	26579.7	9661.24	6.02685
27.5	26579.7	9737.57	3.26655
28	26579.6	9727.77	4.22009
28.5	26579.9	9611.41	6.35857
29	26579.6	9771.86	2.27092
29.5	26579.7	9788.81	2.4313
30	26579.6	9582.74	7.45124
30.5	26579.6	9549.21	8.77968
31	26579.6	9571.03	8.4939
31.5	26579.6	9774.49	4.39367
32	26579.6	9788.66	2.94008
32.5	26580.7	9644.39	2.56925
33	26579.6	9855.6	1.09195
33.5	26579.6	9818.22	3.04281
34	26579.6	9724.36	5.308
34.5	26579.6	9629.78	5.62366
35	26579.6	9719.5	4.85882
35.5	26579.6	9675.97	6.1604
36	26579.6	9830.98	1.77341
36.5	26579.6	9738.85	4.63871
37	26579.6	9778.23	4.37423
37.5	26579.6	9608.98	5.96865
38	26579.6	9661.31	5.21044
38.5	26579.6	9754.96	3.19548
39	26579.6	9752.62	4.30636
39.5	26579.6	9758.2	3.66321
40	26579.6	9835.12	1.26372
40.5	26579.6	9594.8	7.3997
41	26579.6	9772.28	3.74145
41.5	26579.6	9776.53	4.30755
42	26579.6	9821.61	2.20449
42.5	26579.6	9810.25	2.37881
43	26579.6	9813.05	2.51686
43.5	26579.6	9743.36	4.83925
44	26579.6	9570.89	7.78414
44.5	26579.6	9765.46	3.86155
45	26579.6	9569.5	8.23109
45.5	26579.6	9806.76	2.71184
46	26579.6	9716.33	3.1001
46.5	26579.6	9800.86	3.10173
47	26579.6	9800.71	3.20085
47.5	26579.6	9794.95	4.38376
48	26579.6	9698.97	4.15702
48.5	26579.6	9732.69	4.27514
49	26579.6	9744.26	4.42669
49.5	26579.6	9629.01	7.28993
50	26579.6	9782.73	3.9254
50.5	26579.6	9661.61	6.87546
51	26579.6	9682.44	5.10483
51.5	26579.6	9839.15	1.9305
52	26579.6	9753.31	3.06074
52.5	26579.6	9571.3	8.21305
53	26579.6	9759.33	5.51391
53.5	26579.6	9785.66	3.6571
54	26579.6	9571.5	7.23973
54.5	26579.6	9745.64	4.66125
55	26579.6	9810.19	1.24606
55.5	26579.5	9748.11	4.75929
56	26579.6	9752.9	2.83849
56.5	26579.6	9849.01	1.56517
57	26579.5	9581.85	6.549
57.5	26579.6	9595.47	7.22598
58	26579.6	9834.77	1.01364
58.5	26579.6	9688.11	5.49241
59	26579.6	9738.72	4.73773
59.5	26579.6	9767.21	4.3503
60	26579.6	9707.24	3.48079
60.5	26579.6	9751.45	5.68014
61	26579.6	9722.14	3.26401
61.5	26579.7	9824.5	1.64291
62	26579.7	9850.55	0.877172
62.5	26579.6	9793.47	2.79422
63	26579.6	9858.2	1.0084
63.5	26579.6	9809.16	3.34055
64	26579.6	9660.21	6.51796
64.5	26579.7	9740.69	5.16258
65	26579.7	9866.24	0.54417
65.5	26579.7	9719.99	4.08131
66	26579.7	9751.22	4.43372
66.5	26579.6	9674.25	4.64172
67	26579.7	9783.66	3.82052
67.5	26579.7	9701.98	5.22649
68	26579.7	9724.66	4.18449
68.5	26579.7	9784.02	2.87908
69	26579.7	9656.06	6.23248
69.5	26579.7	9718.23	6.90823
70	26579.7	9774.91	2.34953
70.5	26579.7	9701.79	5.17023
71	26579.7	9702.2	6.4406
71.5	26579.7	9750.41	3.48254
72	26579.7	9811.64	2.29559
72.5	26579.7	9757.25	4.06674
