512

AR	1.49201	4.25093	-4.08941	6.08439
AR	-2.68642	5.75360	-3.18090	7.10204
AR	-3.16167	-3.35330	-8.81426	9.94645
AR	-1.78502	4.58814	4.52652	6.68780
AR	2.54958	3.48659	3.66238	5.66301
AR	5.01197	4.64887	-5.55863	8.81080
AR	2.51269	-1.86922	7.98592	8.57803
AR	-3.75363	-2.62010	6.66390	8.08469
AR	-5.36211	-11.89988	2.36738	13.26514
AR	-5.54251	-2.05196	2.68732	6.49242
AR	11.67280	-6.56738	2.25264	13.58158
AR	-5.93599	4.95680	-2.39832	8.09677
AR	9.27129	2.55481	4.61467	10.66673
AR	-4.05000	7.79968	5.96582	10.62208
AR	-4.57937	3.32633	3.33627	6.57007
AR	-7.54693	2.63203	3.10596	8.57501
AR	6.04679	-12.09287	7.55017	15.48568
AR	-5.61802	-6.15449	8.38418	11.82093
AR	5.39015	6.38634	5.99998	10.28780
AR	9.46729	4.42498	-5.32666	11.72960
AR	-3.32308	2.85942	-9.28688	10.26963
AR	-0.89908	-4.66989	-3.91385	6.15909
AR	-5.39083	-3.31643	-7.97501	10.18138
AR	-5.69722	-0.38136	4.63623	7.35516
AR	-10.65168	6.82754	-0.71542	12.67223
AR	-2.38419	-8.58327	6.03743	10.76138
AR	10.53249	-3.57817	3.80643	11.75693
AR	2.40721	-9.13220	-3.71904	10.15002
AR	-0.91209	-2.70925	-2.15195	3.57811
AR	-11.65504	1.68247	-2.22685	11.98456
AR	-6.15965	9.14105	-8.35930	13.83394
AR	3.52826	4.85209	-3.01939	6.71626
AR	-1.25682	-3.79233	9.63288	10.42850
AR	1.48975	5.50183	6.58965	8.71280
AR	2.46239	-2.68456	-2.87499	4.64067
AR	-8.49036	2.47666	-4.31186	9.83932
AR	3.08563	-2.40019	10.59816	11.29615
AR	4.70621	-1.69241	-3.83336	6.30138
AR	-6.43066	2.92250	8.54535	11.08681
AR	1.89981	5.48579	-5.21464	7.80357
AR	-6.97928	-1.82064	6.70227	9.84610
AR	-8.64632	6.56804	5.96706	12.38966
AR	5.99535	-6.12354	2.11635	8.82728
AR	-0.90226	-3.53519	-1.73494	4.04001
AR	11.68522	-6.72351	-7.96177	15.65693
AR	-3.34310	6.21505	3.97334	8.09880
AR	3.56236	2.89240	5.74462	7.35235
AR	4.63329	4.22997	2.48636	6.74848
AR	6.68435	9.38268	6.67815	13.31589
AR	-2.09478	10.50908	-1.66755	10.84479
AR	-3.35882	-3.98845	-3.38564	6.21707
AR	-2.03731	0.96046	-5.37820	5.83080
AR	-3.68108	1.54593	-2.18436	4.55101
AR	5.00915	-6.87832	3.60784	9.24226
AR	-2.17726	6.84585	-6.16355	9.46548
AR	2.83224	2.23792	7.57684	8.39276
AR	-8.08836	-5.99712	8.26115	13.02435
AR	-3.53331	-3.69078	-1.26582	5.26388
AR	-2.90308	6.21525	-3.06676	7.51414
AR	6.63142	-4.07993	-6.05940	9.86600
AR	5.89553	-1.65279	4.76939	7.76119
AR	1.80413	-3.14056	-0.60453	3.67198
AR	-5.79395	-1.88284	6.38832	8.82755
AR	4.31236	-9.27800	0.83409	10.26516
AR	-3.42136	7.43933	4.02057	9.12219
AR	8.30937	-4.38642	1.87140	9.58063
AR	2.10174	-7.39733	10.96878	13.39596
AR	-3.66546	3.85636	0.72372	5.36944
AR	-4.63269	8.21699	7.00070	11.74694
AR	-5.74313	-4.27521	7.38190	10.28365
AR	-2.84219	-0.64241	-11.84532	12.19845
AR	4.22386	6.91884	-5.87237	10.00979
AR	5.10301	8.16785	6.48298	11.60963
AR	4.68557	2.13790	7.44086	9.04940
AR	-6.52867	6.96533	-2.65224	9.90826
AR	-8.62750	-9.61362	-5.64523	14.09695
AR	-3.97138	-1.01749	-7.01380	8.12408
AR	6.47164	7.43544	-4.28659	10.74907
AR	3.04378	5.07123	-2.63097	6.47332
AR	-6.11701	-3.18480	-5.45362	8.79220
AR	-4.57565	10.00938	-1.46950	11.10332
AR	7.30537	-1.37232	4.21004	8.54260
AR	6.96972	-1.36657	-3.61699	7.97039
AR	3.56375	-6.75458	-4.21049	8.72083
AR	-7.87627	10.14487	-2.65792	13.11559
